Sno,year,state,month,number,date
1,1998,Acre,Janeiro,0,01-01-1998
2,1999,Acre,Janeiro,0,01-01-1999
3,2000,Acre,Janeiro,0,01-01-2000
4,2001,Acre,Janeiro,0,01-01-2001
5,2002,Acre,Janeiro,0,01-01-2002
6,2003,Acre,Janeiro,10,01-01-2003
7,2004,Acre,Janeiro,0,01-01-2004
8,2005,Acre,Janeiro,12,01-01-2005
9,2006,Acre,Janeiro,4,01-01-2006
10,2007,Acre,Janeiro,0,01-01-2007
11,2008,Acre,Janeiro,0,01-01-2008
12,2009,Acre,Janeiro,0,01-01-2009
13,2010,Acre,Janeiro,1,01-01-2010
14,2011,Acre,Janeiro,0,01-01-2011
15,2012,Acre,Janeiro,0,01-01-2012
16,2013,Acre,Janeiro,0,01-01-2013
17,2014,Acre,Janeiro,0,01-01-2014
18,2015,Acre,Janeiro,1,01-01-2015
19,2016,Acre,Janeiro,12,01-01-2016
20,2017,Acre,Janeiro,0,01-01-2017
21,1998,Acre,Fevereiro,0,01-01-1998
22,1999,Acre,Fevereiro,0,01-01-1999
23,2000,Acre,Fevereiro,0,01-01-2000
24,2001,Acre,Fevereiro,0,01-01-2001
25,2002,Acre,Fevereiro,1,01-01-2002
26,2003,Acre,Fevereiro,0,01-01-2003
27,2004,Acre,Fevereiro,3,01-01-2004
28,2005,Acre,Fevereiro,0,01-01-2005
29,2006,Acre,Fevereiro,0,01-01-2006
30,2007,Acre,Fevereiro,5,01-01-2007
31,2008,Acre,Fevereiro,0,01-01-2008
32,2009,Acre,Fevereiro,2,01-01-2009
33,2010,Acre,Fevereiro,0,01-01-2010
34,2011,Acre,Fevereiro,0,01-01-2011
35,2012,Acre,Fevereiro,0,01-01-2012
36,2013,Acre,Fevereiro,0,01-01-2013
37,2014,Acre,Fevereiro,0,01-01-2014
38,2015,Acre,Fevereiro,2,01-01-2015
39,2016,Acre,Fevereiro,5,01-01-2016
40,2017,Acre,Fevereiro,1,01-01-2017
41,1998,Acre,Março,0,01-01-1998
42,1999,Acre,Março,0,01-01-1999
43,2000,Acre,Março,11,01-01-2000
44,2001,Acre,Março,0,01-01-2001
45,2002,Acre,Março,0,01-01-2002
46,2003,Acre,Março,0,01-01-2003
47,2004,Acre,Março,0,01-01-2004
48,2005,Acre,Março,3,01-01-2005
49,2006,Acre,Março,0,01-01-2006
50,2007,Acre,Março,2,01-01-2007
51,2008,Acre,Março,0,01-01-2008
52,2009,Acre,Março,1,01-01-2009
53,2010,Acre,Março,0,01-01-2010
54,2011,Acre,Março,0,01-01-2011
55,2012,Acre,Março,1,01-01-2012
56,2013,Acre,Março,2,01-01-2013
57,2014,Acre,Março,1,01-01-2014
58,2015,Acre,Março,2,01-01-2015
59,2016,Acre,Março,0,01-01-2016
60,2017,Acre,Março,0,01-01-2017
61,1998,Acre,Abril,0,01-01-1998
62,1999,Acre,Abril,0,01-01-1999
63,2000,Acre,Abril,1,01-01-2000
64,2001,Acre,Abril,0,01-01-2001
65,2002,Acre,Abril,0,01-01-2002
66,2003,Acre,Abril,1,01-01-2003
67,2004,Acre,Abril,2,01-01-2004
68,2005,Acre,Abril,1,01-01-2005
69,2006,Acre,Abril,0,01-01-2006
70,2007,Acre,Abril,0,01-01-2007
71,2008,Acre,Abril,0,01-01-2008
